,0,1,2,3
0,kingfish,5,不需要女主角的好电影,2006-03-22
1,犀牛,5,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,2005-10-28
2,711|湯好运,5,策划了19年的私奔……,2010-03-27
3,Eve|Classified,5,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。",2008-05-09
4,艾小柯,5,关于希望最强有力的注释。,2006-06-20
5,[已注销],5,有种鸟是关不住的.,2007-06-06
6,seawaver,5,"忒经典的东西,我要带去我的坟墓",2007-08-29
7,寂地,5,"超级喜欢超级喜欢,不看的话人生不圆满.",2006-01-02
8,独行狼,5,"这无疑是我看得最多的一部经典,爱死",2006-02-11
9,九尾黑猫,2,真的不喜欢，不好看，没感觉,2008-03-19
10,文泽尔,4,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,2008-01-14
11,影志,5,"Fear Can Hold You Prisoner, Hope Can Set You Free",2006-02-04
12,理想多钱一斤啊,4,"Hope is a good thing, and maybe the best thing of all.",2009-10-07
13,安东妮,3,点在哪？浅白的励志片诶,2009-05-05
14,珍妮的肖像,5,没有人会不喜欢吧！书和电影都好。,2006-11-13
15,小易甫,3,"在我的心目中,它一直都是最被高估的电影。",2008-06-08
16,眠去,5,hope is a good thing,2007-02-20
17,小耳朵图吗,5,越狱我感觉就是改编自这个,2007-08-21
18,sterdam,5,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！,2005-10-08
19,叶荣添,2,大众经典我从不感冒，为什么？我欣赏水平不行？,2011-02-21
20,我不绝望,2,有那么好吗？？？？？,2006-10-05
21,veronique,5,"一部没有爱情与美女的电影,却光芒四射",2006-06-15
22,葱,5,这样的男人谁会舍得背叛。。。,2012-05-28
23,毛利,5,看完让人很振奋,2006-11-21
24,游牧人·芳汀,4,墙里的人老是喊自由，可是墙外的我们真正得到了吗？,2010-10-06
25,老鸡｜扶立,5,我最喜欢的电影,2008-01-10
